1	613	687
2	607	703
3	596	708
4	586	713
5	576	719
6	564	724
7	553	730
8	540	736
9	529	742
10	515	748
11	505	753
12	491	767
13	495	777
14	497	782
15	501	791
16	505	802
17	511	817
18	516	828
19	521	840
20	525	849
21	530	862
22	535	874
23	540	886
24	544	896
25	552	915
26	558	930
27	563	941
28	568	953
29	573	966
30	579	980
31	580	987
32	567	1001
33	557	1005
34	546	1010
35	535	1014
36	524	1019
37	513	1023
38	501	1028
39	484	1036
40	477	1038
41	465	1043
42	453	1049
43	440	1053
44	428	1058
45	416	1063
46	405	1068
47	394	1081
48	397	1088
49	399	1095
50	404	1107
51	408	1118
52	412	1128
53	418	1143
54	425	1160
55	429	1171
56	434	1183
57	438	1194
58	442	1204
59	448	1218
60	452	1229
61	457	1242
62	462	1254
63	466	1264
64	469	1272
65	473	1282
66	480	1299
67	486	1314
68	490	1325
69	495	1338
70	499	1347
71	502	1355
72	508	1370
73	513	1383
74	515	1388
75	522	1406
76	527	1419
77	531	1430
78	536	1443
79	540	1454
80	545	1467
81	550	1480
82	554	1490
83	559	1503
84	562	1511
85	566	1522
86	569	1530
87	573	1540
88	577	1550
89	582	1564
90	587	1576
91	591	1586
92	599	1606
93	605	1621
94	609	1631
95	614	1644
96	617	1652
97	623	1667
98	628	1679
99	632	1689
100	636	1699
101	641	1712
102	645	1722
103	649	1732
104	654	1745
105	658	1755
106	664	1770
107	667	1779
108	671	1792
109	676	1804
110	680	1812
111	685	1823
112	690	1834
113	695	1845
114	700	1856
115	704	1865
116	709	1877
117	714	1890
118	719	1902
119	724	1914
120	728	1926
121	733	1938
122	737	1950
123	742	1963
124	750	1982
125	755	1997
126	753	2011
127	751	2012
128	737	2017
129	726	2021
130	715	2025
131	704	2029
132	693	2033
133	682	2037
134	672	2041
135	658	2046
136	647	2050
137	636	2054
138	625	2058
139	614	2062
140	604	2067
141	585	2073
142	570	2079
143	558	2084
144	547	2089
145	537	2096
146	542	2111
147	545	2120
148	548	2130
149	551	2141
150	554	2153
151	556	2164
152	558	2176
153	561	2188
154	564	2201
155	567	2213
156	570	2225
157	573	2239
158	578	2261
159	581	2270
160	583	2279
161	586	2289
162	588	2299
163	591	2311
164	594	2323
165	599	2342
166	602	2354
167	606	2367
168	609	2379
169	612	2391
170	616	2406
171	619	2415
172	622	2424
